modelo,id,clasificacion,inst_sugerida,contexto
Observation,1,A (Recuperable),1,"{'student': 'ID:5|Inst:1', 'teacher': 'ID:3|Inst:1'}"
Observation,2,A (Recuperable),1,"{'student': 'ID:5|Inst:1', 'teacher': 'ID:3|Inst:1'}"
Observation,3,A (Recuperable),1,"{'student': 'ID:5|Inst:1', 'teacher': 'ID:3|Inst:1'}"
Observation,4,A (Recuperable),1,"{'student': 'ID:5|Inst:1', 'teacher': 'ID:3|Inst:1'}"
MedicalRecord,1,A (Recuperable),1,{'student': 'ID:5|Inst:1'}
MedicalRecord,2,A (Recuperable),1,{'student': 'ID:54|Inst:1'}
MedicalRecord,3,A (Recuperable),6,{'student': 'ID:154|Inst:6'}
MedicalRecord,4,A (Recuperable),6,{'student': 'ID:156|Inst:6'}
MedicalRecord,5,A (Recuperable),6,{'student': 'ID:157|Inst:6'}
MedicalRecord,6,A (Recuperable),6,{'student': 'ID:158|Inst:6'}
MedicalRecord,7,A (Recuperable),6,{'student': 'ID:159|Inst:6'}
MedicalRecord,8,A (Recuperable),6,{'student': 'ID:160|Inst:6'}
MedicalRecord,9,A (Recuperable),6,{'student': 'ID:161|Inst:6'}
MedicalRecord,10,A (Recuperable),6,{'student': 'ID:162|Inst:6'}
MedicalRecord,11,A (Recuperable),6,{'student': 'ID:163|Inst:6'}
MedicalRecord,12,A (Recuperable),6,{'student': 'ID:164|Inst:6'}
MedicalRecord,13,A (Recuperable),6,{'student': 'ID:165|Inst:6'}
MedicalRecord,14,A (Recuperable),6,{'student': 'ID:166|Inst:6'}
MedicalRecord,15,A (Recuperable),6,{'student': 'ID:167|Inst:6'}
MedicalRecord,16,A (Recuperable),6,{'student': 'ID:168|Inst:6'}
MedicalRecord,17,A (Recuperable),6,{'student': 'ID:169|Inst:6'}
MedicalRecord,18,A (Recuperable),6,{'student': 'ID:170|Inst:6'}
MedicalRecord,19,A (Recuperable),6,{'student': 'ID:171|Inst:6'}
MedicalRecord,20,A (Recuperable),6,{'student': 'ID:172|Inst:6'}
MedicalRecord,21,A (Recuperable),6,{'student': 'ID:173|Inst:6'}
MedicalRecord,22,A (Recuperable),6,{'student': 'ID:174|Inst:6'}
MedicalRecord,23,A (Recuperable),6,{'student': 'ID:175|Inst:6'}
MedicalRecord,24,A (Recuperable),6,{'student': 'ID:176|Inst:6'}
MedicalRecord,25,A (Recuperable),6,{'student': 'ID:177|Inst:6'}
MedicalRecord,26,A (Recuperable),6,{'student': 'ID:178|Inst:6'}
MedicalRecord,27,A (Recuperable),6,{'student': 'ID:179|Inst:6'}
MedicalRecord,28,A (Recuperable),6,{'student': 'ID:180|Inst:6'}
MedicalRecord,29,A (Recuperable),6,{'student': 'ID:181|Inst:6'}
MedicalRecord,30,A (Recuperable),6,{'student': 'ID:182|Inst:6'}
MedicalRecord,31,A (Recuperable),6,{'student': 'ID:183|Inst:6'}
MedicalRecord,32,A (Recuperable),6,{'student': 'ID:184|Inst:6'}
MedicalRecord,33,A (Recuperable),6,{'student': 'ID:185|Inst:6'}
MedicalRecord,34,A (Recuperable),6,{'student': 'ID:186|Inst:6'}
MedicalRecord,35,A (Recuperable),6,{'student': 'ID:187|Inst:6'}
MedicalRecord,36,A (Recuperable),6,{'student': 'ID:188|Inst:6'}
MedicalRecord,37,A (Recuperable),6,{'student': 'ID:189|Inst:6'}
MedicalRecord,38,A (Recuperable),6,{'student': 'ID:190|Inst:6'}
MedicalRecord,39,A (Recuperable),6,{'student': 'ID:191|Inst:6'}
MedicalRecord,40,A (Recuperable),6,{'student': 'ID:192|Inst:6'}
MedicalRecord,41,A (Recuperable),6,{'student': 'ID:193|Inst:6'}
MedicalRecord,42,A (Recuperable),6,{'student': 'ID:194|Inst:6'}
MedicalRecord,43,A (Recuperable),6,{'student': 'ID:195|Inst:6'}
MedicalRecord,44,A (Recuperable),6,{'student': 'ID:196|Inst:6'}
MedicalRecord,45,A (Recuperable),6,{'student': 'ID:197|Inst:6'}
MedicalRecord,46,A (Recuperable),6,{'student': 'ID:198|Inst:6'}
MedicalRecord,47,A (Recuperable),6,{'student': 'ID:199|Inst:6'}
MedicalRecord,48,A (Recuperable),6,{'student': 'ID:200|Inst:6'}
MedicalRecord,49,A (Recuperable),6,{'student': 'ID:201|Inst:6'}
MedicalRecord,50,A (Recuperable),6,{'student': 'ID:202|Inst:6'}
MedicalRecord,51,A (Recuperable),6,{'student': 'ID:203|Inst:6'}
MedicalRecord,52,A (Recuperable),6,{'student': 'ID:204|Inst:6'}
MedicalRecord,53,A (Recuperable),7,{'student': 'ID:220|Inst:7'}
MedicalRecord,54,A (Recuperable),7,{'student': 'ID:221|Inst:7'}
MedicalRecord,55,A (Recuperable),7,{'student': 'ID:222|Inst:7'}
MedicalRecord,56,A (Recuperable),7,{'student': 'ID:223|Inst:7'}
MedicalRecord,57,A (Recuperable),7,{'student': 'ID:224|Inst:7'}
MedicalRecord,58,A (Recuperable),7,{'student': 'ID:225|Inst:7'}
MedicalRecord,59,A (Recuperable),7,{'student': 'ID:226|Inst:7'}
MedicalRecord,60,A (Recuperable),7,{'student': 'ID:227|Inst:7'}
MedicalRecord,61,A (Recuperable),7,{'student': 'ID:228|Inst:7'}
MedicalRecord,62,A (Recuperable),7,{'student': 'ID:229|Inst:7'}
MedicalRecord,63,A (Recuperable),7,{'student': 'ID:230|Inst:7'}
MedicalRecord,64,A (Recuperable),7,{'student': 'ID:231|Inst:7'}
MedicalRecord,65,A (Recuperable),7,{'student': 'ID:232|Inst:7'}
MedicalRecord,66,A (Recuperable),7,{'student': 'ID:233|Inst:7'}
MedicalRecord,67,A (Recuperable),7,{'student': 'ID:234|Inst:7'}
MedicalRecord,68,A (Recuperable),7,{'student': 'ID:235|Inst:7'}
